10ClassKind	10DepthInKind	icd10Code	icd10Chapter	icd10Title	ICD-11 FoundationURI	icd11Title	2024-Jan-21
Chapter	1	I	I	Certain infectious and parasitic diseases	http://id.who.int/icd/entity/1435254666	Certain infectious or parasitic diseases	Subclass	0
Block	1	A00-A09	I	Intestinal infectious diseases	http://id.who.int/icd/entity/588616678	Gastroenteritis or colitis of infectious origin	Subclass	-1
Category	1	A00	I	Cholera	http://id.who.int/icd/entity/257068234	Cholera	Equivalent	0
Category	2	A00.0	I	Cholera due to Vibrio cholerae 01, biovar cholerae	http://id.who.int/icd/entity/1205958647	Cholera due to Vibrio cholerae O1, biovar cholerae	Equivalent	0
Category	2	A00.1	I	Cholera due to Vibrio cholerae 01, biovar eltor	http://id.who.int/icd/entity/581614179	Cholera due to Vibrio cholerae O1, biovar eltor	Equivalent	0
Category	2	A00.9	I	Cholera, unspecified	http://id.who.int/icd/entity/257068234	Cholera	Equivalent	0
Category	1	A01	I	Typhoid and paratyphoid fevers	http://id.who.int/icd/entity/1561949126	Intestinal infections due to Salmonella	Subclass	-1
Category	2	A01.0	I	Typhoid fever	http://id.who.int/icd/entity/1528414070	Typhoid fever	Equivalent	0
Category	2	A01.1	I	Paratyphoid fever A	http://id.who.int/icd/entity/1045590756	Paratyphoid fever A	Equivalent	0
Category	2	A01.2	I	Paratyphoid fever B	http://id.who.int/icd/entity/1258234397	Paratyphoid fever B	Equivalent	0
Category	2	A01.3	I	Paratyphoid fever C	http://id.who.int/icd/entity/800386953	Paratyphoid fever C	Equivalent	0
Category	2	A01.4	I	Paratyphoid fever, unspecified	http://id.who.int/icd/entity/1780040028	Paratyphoid fever	Subclass	0
Category	1	A02	I	Other salmonella infections	http://id.who.int/icd/entity/515117475	Infections due to other Salmonella	Equivalent	0
Category	2	A02.0	I	Salmonella enteritis	http://id.who.int/icd/entity/1520312138	Salmonella enteritis	Equivalent	0
Category	2	A02.1	I	Salmonella sepsis	http://id.who.int/icd/entity/1070977756	Sepsis due to Salmonella without mention of septic shock	Equivalent	0
Category	2	A02.2	I	Localized salmonella infections	http://id.who.int/icd/entity/515117475	Infections due to other Salmonella	Subclass	-1
Category	2	A02.8	I	Other specified salmonella infections	http://id.who.int/icd/entity/515117475	Infections due to other Salmonella	Equivalent	0
Category	2	A02.9	I	Salmonella infection, unspecified	http://id.who.int/icd/entity/520429137	Bacterial infection of unspecified site	Subclass	0
Category	1	A03	I	Shigellosis	http://id.who.int/icd/entity/2080365623	Intestinal infections due to Shigella	Equivalent	0
Category	2	A03.0	I	Shigellosis due to Shigella dysenteriae	http://id.who.int/icd/entity/1181145033	Shigellosis due to Shigella dysenteriae	Equivalent	0
Category	2	A03.1	I	Shigellosis due to Shigella flexneri	http://id.who.int/icd/entity/590158429	Shigellosis due to Shigella flexneri	Equivalent	0
Category	2	A03.2	I	Shigellosis due to Shigella boydii	http://id.who.int/icd/entity/1468025508	Shigellosis due to Shigella boydii	Equivalent	0
Category	2	A03.3	I	Shigellosis due to Shigella sonnei	http://id.who.int/icd/entity/852199222	Shigellosis due to Shigella sonnei	Equivalent	0
Category	2	A03.8	I	Other shigellosis	http://id.who.int/icd/entity/520429137	Bacterial infection of unspecified site	Subclass	0
Category	2	A03.9	I	Shigellosis, unspecified	http://id.who.int/icd/entity/2080365623	Intestinal infections due to Shigella	Equivalent	0
Category	1	A04	I	Other bacterial intestinal infections	http://id.who.int/icd/entity/135352227	Bacterial intestinal infections	Subclass	0
Category	2	A04.0	I	Enteropathogenic Escherichia coli infection	http://id.who.int/icd/entity/2099226249	Enteropathogenic Escherichia coli infection	Equivalent	0
Category	2	A04.1	I	Enterotoxigenic Escherichia coli infection	http://id.who.int/icd/entity/408185629	Enterotoxigenic Escherichia coli infection	Equivalent	0
Category	2	A04.2	I	Enteroinvasive Escherichia coli infection	http://id.who.int/icd/entity/1828273122	Enteroinvasive Escherichia coli infection	Equivalent	0
Category	2	A04.3	I	Enterohaemorrhagic Escherichia coli infection	http://id.who.int/icd/entity/162723448	Enterohaemorrhagic Escherichia coli infection	Equivalent	0
Category	2	A04.4	I	Other intestinal Escherichia coli infections	http://id.who.int/icd/entity/344162786	Intestinal infections due to Escherichia coli	Subclass	0
Category	2	A04.5	I	Campylobacter enteritis	http://id.who.int/icd/entity/794462570	Gastroenteritis due to Campylobacter	Equivalent	0
Category	2	A04.6	I	Enteritis due to Yersinia enterocolitica	http://id.who.int/icd/entity/1000894786	Intestinal infections due to Yersinia enterocolitica	Equivalent	0
Category	2	A04.7	I	Enterocolitis due to Clostridium difficile	http://id.who.int/icd/entity/250688797	Intestinal infections due to Clostridioides difficile	Equivalent	0
Category	2	A04.8	I	Other specified bacterial intestinal infections	http://id.who.int/icd/entity/135352227	Bacterial intestinal infections	Subclass	-1
Category	2	A04.9	I	Bacterial intestinal infection, unspecified	http://id.who.int/icd/entity/135352227	Bacterial intestinal infections	Equivalent	0
Category	1	A05	I	Other bacterial foodborne intoxications, not elsewhere classified	http://id.who.int/icd/entity/1834648119	Bacterial foodborne intoxications	Subclass	-1
Category	2	A05.0	I	Foodborne staphylococcal intoxication	http://id.who.int/icd/entity/1642556936	Foodborne staphylococcal intoxication	Equivalent	0
Category	2	A05.1	I	Botulism	http://id.who.int/icd/entity/78422942	Botulism	Equivalent	0
Category	2	A05.2	I	Foodborne Clostridium perfringens [Clostridium welchii] intoxication	http://id.who.int/icd/entity/1879176035	Foodborne Clostridium perfringens intoxication	Equivalent	0
Category	2	A05.3	I	Foodborne Vibrio parahaemolyticus intoxication	http://id.who.int/icd/entity/1834648119	Bacterial foodborne intoxications	Subclass	0
Category	2	A05.4	I	Foodborne Bacillus cereus intoxication	http://id.who.int/icd/entity/1722068323	Foodborne Bacillus cereus intoxication	Equivalent	0
Category	2	A05.8	I	Other specified bacterial foodborne intoxications	http://id.who.int/icd/entity/1834648119	Bacterial foodborne intoxications	Subclass	0
Category	2	A05.9	I	Bacterial foodborne intoxication, unspecified	http://id.who.int/icd/entity/1834648119	Bacterial foodborne intoxications	Equivalent	0
Category	1	A06	I	Amoebiasis	http://id.who.int/icd/entity/435671752	Amoebiasis	Equivalent	0
Category	2	A06.0	I	Acute amoebic dysentery	http://id.who.int/icd/entity/1616956984	Acute amoebiasis	Equivalent	0
Category	2	A06.1	I	Chronic intestinal amoebiasis	http://id.who.int/icd/entity/86705058	Chronic amoebiasis	Equivalent	0
Category	2	A06.2	I	Amoebic nondysenteric colitis	http://id.who.int/icd/entity/1959427510	Amoebic nondysenteric colitis	Subclass	0
